"Gene","Description","Phenotype","Treated_OneTX_1","Untreated_NewMP_1","Treated_OneTX_2","Untreated_NewMP_2","Treated_OneTX_3","Untreated_NewMP_3","TreatedAvg","UntreatedAvg","FoldChange","padj"
"Tb927.10.6850","mitochondrial RNA binding complex 1 subunit,mitochondrial edited mRNA stability factor 1 subunit,kinteoplast poly(A) polymerase complex 1 subunit","overrepresented",1182.05790261274,52.0804075374782,460.816967549897,55.1569589819835,1132.1077003907,52.6254231264368,924.994190184446,53.2875965486328,17.5213323286538,1.63005041969171e-09
"Tb927.10.7880","hypothetical protein, conserved","overrepresented",76.0282265080169,6.58487911393403,162.733326401322,4.70852088870591,210.093063630198,4.04810947126437,149.618205513179,5.11383649130144,32.6687969570376,2.25092550301421e-10
"Tb927.10.9060","hypothetical protein, conserved","overrepresented",2400.31972261025,239.450149597601,1387.14513321896,269.05833649748,2496.07976634219,279.319553517242,2094.51487405713,262.609346537441,8.03871361226469,2.46825657510221e-08
"Tb927.11.11435","dynein light chain lc6","overrepresented",45306.4873132357,268.782792923307,14844.7218035513,246.188377895195,36795.6773928909,273.247389310345,32315.6288365593,262.739520042949,121.173535672249,1.58182429294472e-24
"Tb927.11.12380","hypothetical protein, conserved","overrepresented",7015.4140912338,44.8969030495502,4110.58123515646,51.1210839345213,4625.31309515394,60.7216420689656,5250.43614051473,52.246543017679,104.279068196054,5.60020863104665e-39
"Tb927.11.13090","elongation factor 1 gamma, putative","overrepresented",2665.51341745369,39.5092746836042,2005.21882483936,24.8878961260169,1666.5931627867,45.5412315517242,2112.44180169325,36.6461341204484,61.5436039393763,4.84889951531518e-43
"Tb927.11.13190","elongation factor 1 gamma, putative","overrepresented",2599.44126822648,31.1285194476881,2088.15023156311,37.6681671096473,1609.98777776716,42.5051494482759,2099.19309251892,37.1006120018704,58.9398757778302,6.71470501864517e-46
"Tb927.11.15280","tRNA-sepcific adenosine deaminase (ADAT3)","overrepresented",959.403810696404,18.5573865938141,370.844214972243,22.1973127610421,961.202980235567,20.2405473563219,763.817001968071,20.331748903726,38.6316645299841,6.97077059136688e-18
"Tb927.11.1810","hypothetical protein, conserved","overrepresented",537.628173163834,42.5024015535742,353.632036218257,26.905833649748,621.570670118357,29.3487936666667,504.276959833482,32.9190096233296,15.657142907306,1.00907074206516e-16
"Tb927.11.2350","hypothetical protein, conserved","overrepresented",430.826616878762,6.58487911393403,104.055444285461,14.1255626661177,183.967501313489,17.2044652528736,239.616520825904,12.6383023443084,27.8287093616949,4.46742906808247e-07
"Tb927.11.290","phosphatase and tensin homologue, putative","overrepresented",166.538019969942,26.3395164557361,224.540695563362,33.6322920621851,474.614382086871,15.1804105172414,288.564365873392,25.0507396783875,14.7546701398014,2.2765238295629e-05
"Tb927.11.5600","hypothetical protein, conserved","overrepresented",1807.48057543464,211.314757019883,1034.29546876225,174.887918723362,1990.98556155249,201.393446195403,1610.92053524979,195.865373979549,8.11786534539744,1.5116457379545e-08
"Tb927.11.590","hypothetical protein, conserved","overrepresented",85271.0866163487,195.750497296039,36223.0301877634,147.309439232371,57219.3357339778,166.984515689655,59571.15084603,170.014817406022,341.390386715051,1.20063885163138e-35
"Tb927.11.7475","hypothetical protein, conserved","overrepresented",4583.41594091188,261.000663061385,3717.83061086096,259.641294720069,5342.67749376689,261.103060896552,4547.97468184658,260.581672892669,17.4473295229803,1.78949192227172e-22
"Tb927.2.2130","small GTP-binding protein RAB6, putative","overrepresented",590.12385337175,50.8831567894902,378.667932587691,58.520188188202,303.709661931736,52.6254231264368,424.167149297059,54.009589368043,7.94650275751573,5.39396599642895e-12
"Tb927.2.5210","3-oxoacyl-ACP reductase, putative","overrepresented",11187.9155698285,477.703048447214,7204.07918030466,404.932796428708,10771.3516301596,386.594454505747,9721.1154600976,423.076766460556,23.024393286071,2.93386711452675e-25
"Tb927.3.1610","protein kinase, putative","overrepresented",2001.17153344316,104.160815074956,1238.49449852544,104.932751234017,1333.49224324866,110.310983091954,1524.38609173909,106.468183133643,14.3678506997534,4.48565178068844e-22
"Tb927.3.4030","hypothetical protein, conserved","overrepresented",2679.9949844076,132.894833026669,1426.2637212962,159.417064374757,2010.57973329003,140.671804126437,2038.94614633127,144.327900509288,14.4685758355737,2.80561268260009e-13
"Tb927.3.4930","hypothetical protein, conserved","overrepresented",874.324604842194,63.4542896433642,963.882010223213,73.3183966955634,961.202980235567,64.7697515402299,933.136531766992,67.1808126263859,13.9218800335509,1.24163400420738e-16
"Tb927.3.5190","hypothetical protein, conserved","overrepresented",778.384223772554,122.71820166877,789.413107398719,122.421543106354,1175.65030425188,119.419229402299,914.482545141052,121.519658059141,7.54530309892857,3.96460290662667e-18
"Tb927.3.5250","Zinc finger CCCH domain-containing protein 8 (ZC3H8)","overrepresented",1717.87587990733,17.3601358458261,856.697078891573,13.452916824874,303.709661931736,17.2044652528736,959.427540243548,16.0058393078579,60.0964350324982,5.58004279428886e-14
"Tb927.4.1740","hypothetical protein, conserved","overrepresented",227.179581589431,50.8831567894902,381.79741963387,58.520188188202,622.659235214886,49.5893410229886,410.545412146063,52.9975620002269,7.84841419127009,1.73843746318122e-08
"Tb927.4.1910","hypothetical protein, conserved","overrepresented",2128.79034222447,39.5092746836042,1115.66213196291,59.1928340294457,1904.98891892666,51.6133957586207,1716.48046437135,50.1051681572235,36.5458362524825,1.81485117943219e-19
"Tb927.4.4540","hypothetical protein, conserved","overrepresented",9098.04443879269,253.817158573457,5222.33150831165,301.345336877178,6960.28522720976,267.175225103449,7093.55372477136,274.112573518028,26.4087728106304,6.73102645847289e-32
"Tb927.4.4810","hypothetical protein, conserved","overrepresented",111111.632649728,105.956691196938,33639.6386311425,102.242167869043,62435.7396765472,123.467338873563,69062.336985806,110.555399313181,627.785635635547,1.23708370354035e-40
"Tb927.4.890","small nuclear ribonucleoprotein SmD3, putative (SmD3)","overrepresented",1578.49079797597,131.69758227868,1172.77527055568,118.385668058891,1546.85100216845,138.647749390805,1432.70569023337,129.576999909459,11.0162722116848,4.44563313233234e-10
"Tb927.5.2620","hypothetical protein, conserved","overrepresented",529.48229175226,19.1560119678081,178.380761632218,32.9596462209414,486.588598148696,28.3367662988506,398.150550511058,26.8174748292,16.7414195865329,1.29923333925995e-08
"Tb927.5.3450","hypothetical protein, conserved","overrepresented",6459.68395937758,35.3188970656461,1786.93710336836,28.2511253322354,4313.98347754649,34.4089305057472,4186.86818009748,32.6596509678762,123.840603369984,7.10001691748537e-23
"Tb927.5.4150","hypothetical protein, conserved","overrepresented",318.594472985976,17.9587612198201,85.2785220083849,16.8161460310925,226.42154007814,12.1443284137931,210.0981783575,15.6397452215686,13.8185954248945,2.59584773546089e-06
"Tb927.5.4370","hypothetical protein, conserved","overrepresented",1234.55358282066,35.9175224396401,424.04549475729,32.2870003796977,815.335257300611,27.3247389310345,824.644778292852,31.8430872501241,25.7814175885948,2.74003406799899e-12
"Tb927.6.1280","translation initiation factor EIF-2b alpha subunit, putative,eIF-2B GDP-GTP exchange factor","overrepresented",13733.0509619779,130.500331530693,5622.12347846105,123.094188947597,10959.6733918592,132.575585183908,10104.9492774327,128.723368554066,77.8581812784238,1.10281336828221e-40
"Tb927.6.2280","hypothetical protein, conserved","overrepresented",320.404668855214,70.6377941312923,232.36441317881,57.1748965057146,399.503390426334,66.7938062758621,317.424157486786,64.8688323042897,4.86037478717782,1.37513409478341e-08
"Tb927.6.3980","hypothetical protein, conserved","overrepresented",201.836839420092,40.1079000575982,201.069542717018,35.6502295859162,336.366614827622,42.5051494482759,246.424332321577,39.4210930305967,6.19531967605229,2.25092550301421e-10
"Tb927.6.4380","hypothetical protein, conserved","overrepresented",123.998417042837,10.775256731892,63.3721126851301,14.1255626661177,91.4394681084798,11.132301045977,92.9366659454823,12.0110401479956,8.06930985418738,3.24871072503106e-07
"Tb927.7.2780","hypothetical protein, conserved","overrepresented",106927.364897983,322.060451208773,64444.744370208,278.475378274892,90265.994934421,309.680374551724,87212.7014008708,303.40540134513,284.97043078605,6.12825214717963e-66
"Tb927.7.5090","hypothetical protein, conserved","overrepresented",1529.61550950653,68.2432926353163,378.667932587691,70.6278133305886,541.016852975172,61.7336694367817,816.433431689798,66.8682584675622,12.1797773706478,7.17270182985411e-09
"Tb927.7.5360","hypothetical protein, conserved","overrepresented",520.431312406068,38.3120239356161,362.23812559525,39.0134587921347,324.392398765797,37.4450126091954,402.353945589038,38.2568317789821,10.5107134091329,6.15296521432462e-18
"Tb927.7.5460","exosome-associated protein 3,3' exoribonuclease, putative (EAP3)","overrepresented",12567.2848221883,304.700315362947,5557.96899401437,290.583003417279,8020.54763122951,317.776593494253,8715.26714914405,304.353304091493,28.5370921376008,1.1708717562865e-20
"Tb927.7.6190","hypothetical protein, conserved","overrepresented",82986.6194293697,544.749090334542,36704.971192875,511.883485186456,59760.0466692777,490.833273390805,59817.2124305075,515.821949637268,115.265702691504,8.1094222930033e-37
"Tb927.7.710","heat shock 70 kDa protein, putative (HSP70)","overrepresented",1682.57706045718,190.961494304087,1352.72077571099,193.049356436942,2423.14590487471,167.996543057471,1819.48124701429,184.0024645995,10.0806628707011,2.52665693667053e-20
"Tb927.7.770","hypothetical protein, conserved","overrepresented",4792.49356380892,101.167688204986,2787.59058638418,106.278042916505,5782.45779276482,80.9621894252874,4454.18064765264,96.1359735155929,48.3409040449001,3.51210581422299e-23
"Tb927.8.1930","hypothetical protein, conserved","overrepresented",209.077622897046,16.1628850978381,248.011848409707,12.1076251423866,163.284764479428,8.09621894252874,206.791411928727,12.1222430609178,17.8625426711249,1.41069405230616e-18
"Tb927.8.2391","hypothetical protein, conserved","overrepresented",3859.33759321648,399.283124454,2140.56913958662,402.242213063733,2388.31182178577,441.243932367817,2796.07285152962,414.256423295183,6.79997943225814,1.17482593013541e-07
"Tb927.8.3340","hypothetical protein, conserved","overrepresented",2761.45379852333,132.296207652675,1300.30186768748,123.766834788841,1386.83193297861,152.81613254023,1816.19586639647,136.293058327249,13.4848308854435,8.58151684646497e-10
"Tb927.8.3820","hypothetical protein, conserved","overrepresented",934.061068527065,14.9656343498501,750.294519321478,11.4349793011429,745.667091122722,17.2044652528736,810.007559657088,14.5350263012889,57.123065982576,2.81024468547863e-29
"Tb927.8.3970","oxidoreductase, putative","overrepresented",295.967024620494,61.0597881473882,394.315367818587,86.0986676791937,514.891290658464,75.902052586207,401.724561032515,74.353502804263,5.40353453114791,2.29062552455686e-09
"Tb927.8.4200","hypothetical protein, conserved","overrepresented",1013.70968677356,90.3924314730943,590.690679966336,93.4977719328744,599.799368187766,108.286928356322,734.733244975887,97.3923772540969,7.69040725467182,2.31884979894265e-11
"Tb927.8.7790","hypothetical protein, conserved","overrepresented",1187.48849022045,49.6859060415022,514.800619096489,55.8296048232272,559.522459616174,65.781778908046,753.937189644372,57.0990965909251,13.8755225705316,1.84292816312182e-14
"Tb927.9.10850","hypothetical protein, conserved","overrepresented",1442.72610778308,175.995859954237,1403.5749402114,161.435001898488,1835.32075274877,189.249117781609,1560.54060024775,175.559993211445,8.86325836688976,9.41930429720681e-35
"Tb927.9.10930","hypothetical protein, conserved","overrepresented",15795.7691549751,219.096886881805,6363.02953664399,283.856545004842,15237.7342212202,268.187252471265,12465.5109709465,257.04689478597,50.4429266156733,2.83428886547682e-17
"Tb927.9.15020","hypothetical protein, conserved","overrepresented",1754.0797972921,49.0872806675082,964.664381984758,56.5022506644709,1690.54159491035,39.4690673448276,1469.76192472907,48.3528662256022,31.8796618275882,5.71367427080327e-18
"Tb927.9.3480","U5Cwc21 small nuclear ribonucleoprotein (CWC21)","overrepresented",1297.00534030938,127.507204660722,630.591639805122,137.892397454959,1040.66823228222,128.527475712644,989.421737465576,131.309025942775,7.61398023619425,9.6358076533484e-09
"Tb927.9.4930","divalent cation transporter, putative","overrepresented",1163.95594392035,93.9841837170584,891.90380816109,116.36773053516,1024.33975583428,115.371119931035,1026.73316930524,108.574344727751,9.64259073419621,2.72274337000573e-29
"Tb927.9.5220","conserved protein","overrepresented",6719.4470666133,316.074197468833,4605.04018845279,265.022461450018,5688.84119446328,311.704429287357,5671.10948317646,297.600362735403,18.9619579138034,6.26993744231757e-17
"Tb927.9.7080","hypothetical protein, conserved","overrepresented",2373.16678457167,65.8487911393402,1118.79161900909,62.5560632356642,1043.93392757181,70.8419157471265,1511.96411038419,66.4155900407103,22.8867897745753,2.0573679536333e-17
"Tb927.9.7200","hypothetical protein, conserved","overrepresented",9054.59973793096,220.294137629793,6179.17217268096,247.533669577682,5684.48693407716,222.64602091954,6972.75294822969,230.157942709005,30.5322582310611,2.70172789467063e-21
"Tb927.9.7820","hypothetical protein, conserved","overrepresented",1068.01556285071,19.7546373418021,352.849664456712,17.4887918723362,704.3016174546,13.1563557816092,708.388948254009,16.7999283319158,42.5909956777345,7.47071283702476e-15
