"Gene","Description","Phenotype","Treated_OldMP_1","Untreated_TwoTX_1","Treated_OldMP_2","Untreated_TwoTX_2","Treated_OldMP_3","Untreated_TwoTX_3","TreatedAvg","UntreatedAvg","FoldChange","padj"
"Tb927.5.1000","ubiquitin-conjugating enzyme e2, putative,ubiquitin carrier protein, putative,ubiquitin-protein ligase, putative","overrepresented",413.500239370934,86.4690983513318,446.512239013735,44.5790805772025,382.666725511912,14.3271498755869,414.22640129886,48.4584429347071,13.835814052286,0.000171230504103928
"Tb927.6.2130","nuclear movement protein, putative,NUDC-like protein","overrepresented",237.981255589616,58.2726532367671,235.486046569005,39.0066955050522,244.229632080272,57.3085995023476,239.232311412964,51.529316081389,4.79421728956627,2.16556314052769e-09
"Tb927.6.3000","fatty acid desaturase, putative,sphingolipid delta 4 desaturase, putative","overrepresented",86.8225578135344,13.1583410534635,93.0433666688127,5.57238507215032,105.792538648633,7.16357493779345,95.2194877103266,8.63143368780243,12.6878786884034,6.73254301077041e-07
"Tb927.6.3140","hypothetical protein, conserved","overrepresented",69.3331217072109,1.87976300763765,56.113782990985,13.9309626803758,69.5208111119587,7.16357493779345,64.9892386033849,7.6581002086023,16.8722416476597,0.00180305808608627
"Tb927.7.200","hypothetical protein, conserved","overrepresented",124.612232257555,13.1583410534635,116.064405844601,5.57238507215032,112.44235536369,14.3271498755869,117.706331155282,11.0192920004003,12.7156355577154,1.61197622959359e-08
"Tb927.7.4280","hypothetical protein, conserved","overrepresented",84.6363783002439,18.7976300763765,117.023615810259,18.1102514844885,123.323873624692,7.16357493779345,108.327955911732,14.6904854995528,9.39321503444995,2.69864013045097e-05
"Tb927.7.4390","threonine synthase, putative","overrepresented",89.0087373268248,3.7595260152753,75.2979823041422,13.9309626803758,100.351779518132,21.4907248133804,88.2194997163662,13.0604045030105,11.2500470613953,0.00166168601754805
"Tb927.8.7560","hypothetical protein, conserved","overrepresented",80.5763306327046,18.7976300763765,72.8999573899976,13.9309626803758,69.5208111119587,7.16357493779345,74.3323663782203,13.2973892315152,6.40807502163684,3.50642927212213e-05
"Tb927.9.12290","Peroxin 19","overrepresented",262.966164312935,16.9178670687388,284.885359800385,58.5100432575783,261.760967056331,42.9814496267607,269.870830389884,39.469786651026,8.83426195219866,0.000146822156651841
"Tb927.9.13785","kinetoplastid membrane protein KMP-11","overrepresented",156.780302238828,15.0381040611012,149.157149659798,27.8619253607516,135.41444947025,21.4907248133804,147.117300456292,21.4635847450777,7.36001379925217,5.37746838113124e-09
"Tb927.9.13990","RNA-binding protein, putative (DRBD2)","overrepresented",43.0989675477257,1.87976300763765,30.6947189010516,2.78619253607516,35.0626699521183,7.16357493779345,36.2854521336319,3.94317682716875,12.9463919432156,0.00350210727362605
"Tb927.9.9870","MCAK-like kinesin, putative","overrepresented",174.582049704193,1.87976300763765,152.5143845396,1.39309626803758,99.7472507258538,14.3271498755869,142.281228323216,5.86666971708738,69.771775239733,3.1334968463024e-08
