"Gene","Description","Phenotype","Treated_OldMP_1","Untreated_OneTX_1","Treated_OldMP_2","Untreated_OneTX_2","Treated_OldMP_3","Untreated_OneTX_3","TreatedAvg","UntreatedAvg","FoldChange","padj"
"Tb927.10.5540","hypothetical protein, conserved","overrepresented",49.9698174466385,0.905097934619249,76.736797252629,1.56474352308963,62.2664656046239,6.53139057917713,62.9910267679638,3.000410678962,37.9279480150304,2.64974103841194e-09
"Tb927.10.5880","Proteophosphoglycan, putative","overrepresented",42.7866561886842,5.43058760771549,35.4907687293409,1.56474352308963,29.6219108216172,2.17713019305904,35.9664452465474,3.05748710795472,14.7220981846703,0.000407137968023154
"Tb927.10.690","palmitoyl acyltransferase 3, putative","overrepresented",31.5434472631905,2.71529380385775,24.9394591071044,2.34711528463445,39.2943714980636,9.79708586876569,31.9257592894529,4.95316498575263,8.75111899730546,0.000554287921021861
"Tb927.10.7940","methyltransferase, putative","overrepresented",133.669261669758,0.905097934619249,109.829541067825,7.82371761544816,122.114816040136,8.70852077223617,121.87120625924,5.81244544076786,58.5817789220546,1.86518248378926e-07
"Tb927.10.8210","KREPA2,RNA-editing complex protein (KREPA2)","overrepresented",19.9879269786554,3.62039173847699,26.3782740555912,6.25897409235853,32.0400259907288,5.44282548264761,26.1354090083251,5.10739710449438,5.20735167020795,0.00317706691028698
"Tb927.10.8980","hypothetical protein, conserved","overrepresented",50.906751523763,4.52548967309624,55.1545730253271,11.7355764231722,57.4302352664007,11.9742160618247,54.4971866051636,9.41176071936441,6.91494238795479,1.86402240401629e-05
"Tb927.10.9740","proteasome regulatory ATPase subunit 6,19S proteasome regulatory subunit (RPT6)","overrepresented",29.0449563908586,0.905097934619249,31.1743238838805,1.56474352308963,29.6219108216172,5.44282548264761,29.9470636987854,2.6375556467855,19.1519133618435,2.03072366748642e-05
"Tb927.10.9990","hypothetical protein, conserved","overrepresented",33.105004058398,0.905097934619249,33.0927438151963,0.782371761544816,26.5992668602277,5.44282548264761,30.9323382446073,2.37676505960389,27.9203893524431,1.89935221137501e-05
"Tb927.11.10480","hypothetical protein, conserved","overrepresented",26.5464655185267,0.905097934619249,23.9802491414466,1.56474352308963,33.2490835752846,5.44282548264761,27.9252660784193,2.6375556467855,16.9213608810239,6.52136273598713e-05
"Tb927.11.10540","hypothetical protein, conserved","overrepresented",33.105004058398,4.52548967309624,34.5315587636831,5.47660233081371,45.3396594208426,8.70852077223617,37.6587407476412,6.23687092538204,6.27562535955446,0.00408823823337262
"Tb927.11.12430","cell division cycle phosphatase 14, putative","overrepresented",23.1110405690703,0.905097934619249,15.8269644333547,3.12948704617926,30.830968406173,7.61995567570665,23.2563244695327,3.88484688550172,11.5459158541517,0.0166055482802699
"Tb927.11.13130","membrane-bound acid phosphatase 1 precursor (MBAP1)","overrepresented",79.3270851965386,2.71529380385775,76.2571922698001,3.12948704617926,67.1026959428471,11.9742160618247,74.2289911363953,5.93966563728725,19.7287212177353,4.17187213678288e-07
"Tb927.11.14490","RNA polymerase subunit, putative (RPB7)","overrepresented",49.032883369514,1.8101958692385,51.3177331626957,5.47660233081371,52.5940049281775,9.79708586876569,50.9815404867957,5.6946280229393,13.9419168994836,6.48908325584775e-07
"Tb927.11.15160","hypothetical protein, conserved","overrepresented",48.0959492923895,0.905097934619249,60.4302278364453,0.782371761544816,50.1758897590658,6.53139057917713,52.9006889626336,2.7396200917804,46.0203329864535,2.64137980616294e-08
"Tb927.11.15650","poly(A) polymerase, putative","overrepresented",93.3810963534057,0.905097934619249,116.064405844601,8.60608937699297,105.792538648633,8.70852077223617,105.07934694888,6.07323602794946,42.9356143410529,9.95551797150633e-08
"Tb927.11.16570","ATP-dependent DEAD/H RNA helicase, putative","overrepresented",30.9188245451076,1.8101958692385,38.3683986263145,3.91185880772408,27.8083244447835,5.44282548264761,32.3651825387352,3.72162671987006,10.6659242347377,2.82212882324492e-05
"Tb927.11.16920","hypothetical protein, conserved","overrepresented",173.332804268027,6.33568554233474,189.443968217428,43.0304468849649,191.635627152095,10.8856509652952,184.804133212517,20.0839277975316,16.4550527102731,0.00149301980134866
"Tb927.11.2160","hypothetical protein, conserved","overrepresented",34.0419381355225,1.8101958692385,26.8578790384202,4.6942305692689,48.96683217451,8.70852077223617,36.6222164494842,5.07098240358119,10.0499985749701,0.000272887141451304
"Tb927.11.2420","hypothetical protein, conserved","overrepresented",61.8376490902151,1.8101958692385,69.0631175273661,12.5179481847171,65.2891095660134,6.53139057917713,65.3966253945316,6.95317821104423,16.5580271474878,0.000193064753439934
"Tb927.11.3960","hypothetical protein, conserved","overrepresented",107.122796151231,1.8101958692385,100.237441411247,3.91185880772408,114.255941740523,10.8856509652952,107.205393101,5.5359018807526,31.7658225869866,6.64160459914107e-12
"Tb927.11.4070","hypothetical protein","overrepresented",67.1469421939205,0.905097934619249,61.8690427849321,11.7355764231722,63.4755231891797,6.53139057917713,64.1638360560108,6.39068831232287,29.7259803935093,3.09974373759182e-05
"Tb927.11.6010","conserved protein, unknown function","overrepresented",96.8165213028621,2.71529380385775,95.9209965657863,17.2121787539859,109.4197114023,13.0627811583543,100.71907642365,10.9967512387327,16.5351021664267,9.1820818348194e-06
"Tb927.11.690","hypothetical protein, conserved","overrepresented",47.4713265743066,0.905097934619249,48.4401032657221,7.82371761544816,39.2943714980636,5.44282548264761,45.0686004460308,4.72388034423834,21.9532507605501,0.000435830115391632
"Tb927.11.8890","DNA-dependent RNA polymerases, putative (RPC19)","overrepresented",148.972518262791,8.14588141157324,156.830829385061,10.9532046616274,139.646151016195,27.214127413238,148.483166221349,15.4377378288129,12.5792408898135,2.15068698805519e-06
