"Gene","Description","Phenotype","Treated_TwoTX_1","Untreated_OldMP_1","Treated_TwoTX_2","Untreated_OldMP_2","Treated_TwoTX_3","Untreated_OldMP_3","TreatedAvg","UntreatedAvg","FoldChange","padj"
"Tb927.11.15280","tRNA-sepcific adenosine deaminase (ADAT3)","overrepresented",1783.89509424813,22.7987292100288,505.693945297641,30.6947189010516,1762.23943469719,25.9947380679498,1350.60949141432,26.4960620596767,54.170827759573,5.27317912486144e-22
"Tb927.11.16170","hypothetical protein, conserved","overrepresented",255.64776903872,48.7205720104725,175.530129772735,41.725633506117,565.922420085683,31.4354971984509,332.366772965713,40.6272342383468,9.15221642161184,3.07638355560046e-06
"Tb927.11.1810","hypothetical protein, conserved","overrepresented",891.007665620245,37.4773630849789,488.97679008119,32.1335338495384,1239.29846423827,30.830968406173,873.094306646568,33.4806217802301,26.3960426045012,1.53019985186654e-24
"Tb927.11.2350","hypothetical protein, conserved","overrepresented",216.172745878329,12.4924543616596,73.8341022059917,17.2657793818415,508.613820583335,15.7177485992254,266.206889555885,15.1586607809089,17.9799315501094,1.01219627684167e-06
"Tb927.11.3890","N(2), N(2)-dimethylguanosine tRNA methyltransferase, putative","overrepresented",1667.34978777459,192.383797169558,844.216338430773,204.311722685125,1432.71498755869,233.952642611548,1314.76037125469,210.21605415541,6.3075811750859,8.38785523819642e-12
"Tb927.11.5600","hypothetical protein, conserved","overrepresented",3738.84862219128,208.311676480674,1465.53727397553,174.576213749731,5358.3540534695,209.166962128154,3520.91331654544,197.351617452853,17.3202532820776,7.15137824257728e-16
"Tb927.11.590","hypothetical protein, conserved","overrepresented",212967.749950307,142.726291081961,52750.983285511,135.728210140588,476205.807564758,158.991072369088,247308.180266859,145.815191197212,1625.32194278202,7.96589623201222e-58
"Tb927.11.6690","protein kinase, putative","overrepresented",556.409850260744,126.486100411804,544.700640802694,128.534135398154,795.156818095074,163.222773915033,632.089103052837,139.414336574997,4.50279151592493,7.14116626295897e-09
"Tb927.11.7475","hypothetical protein, conserved","overrepresented",11934.6153354914,277.332486828844,5010.96727613117,289.681409628675,14183.878376831,287.755705124281,10376.4869961512,284.923200527266,36.5410633753232,5.18814641637737e-36
"Tb927.2.2130","small GTP-binding protein RAB6, putative","overrepresented",332.718052351864,55.2791105503438,281.405446143591,62.3486477677611,573.085995023476,56.2211776818449,395.736497839644,57.9496453333166,6.90857015219497,3.25873492988061e-10
"Tb927.2.3780","translation initiation factor IF-2, putative","overrepresented",214.292982870692,43.4112789067672,334.343104329019,47.0012883172353,537.268120334509,39.2943714980636,361.968069178073,43.2356462406887,8.57424476732735,5.38754789696203e-11
