"Gene","Description","Phenotype","Treated_NewMP_1","Untreated_OneTX_1","Treated_NewMP_2","Untreated_OneTX_2","Treated_NewMP_3","Untreated_OneTX_3","TreatedAvg","UntreatedAvg","FoldChange","padj"
"Tb927.10.7940","methyltransferase, putative","overrepresented",116.133322554836,0.905097934619249,114.349793011429,7.82371761544816,123.467338873563,8.70852077223617,117.983484813276,5.81244544076786,52.3679260128295,2.23999357239363e-07
"Tb927.10.9740","proteasome regulatory ATPase subunit 6,19S proteasome regulatory subunit (RPT6)","overrepresented",42.5024015535742,0.905097934619249,27.5784794909917,1.56474352308963,33.3969031379311,5.44282548264761,34.492594727499,2.6375556467855,23.5732558868392,4.68915475810979e-06
"Tb927.10.9990","hypothetical protein, conserved","overrepresented",27.5367672037241,0.905097934619249,22.8699586022858,0.782371761544816,24.2886568275862,5.44282548264761,24.8984608778654,2.37676505960389,21.372719429106,0.000106695911707287
"Tb927.11.10480","hypothetical protein, conserved","overrepresented",27.5367672037241,0.905097934619249,22.8699586022858,1.56474352308963,32.384875770115,5.44282548264761,27.597200525375,2.6375556467855,16.9966246254737,6.7371935215424e-05
"Tb927.11.10540","hypothetical protein, conserved","overrepresented",34.1216463176581,4.52548967309624,28.2511253322354,5.47660233081371,55.6615052298851,8.70852077223617,39.3447589599262,6.23687092538204,6.36333559948062,0.00267247567742983
"Tb927.11.13100","hypothetical protein, conserved","overrepresented",94.5828090910524,20.8172524962427,50.4484380932776,10.1708329000826,83.9982715287357,2.17713019305904,76.3431729043552,11.0550718631281,16.0285661218556,0.0125969217441342
"Tb927.11.13130","membrane-bound acid phosphatase 1 precursor (MBAP1)","overrepresented",80.2158001151963,2.71529380385775,67.9372299656138,3.12948704617926,76.9140799540231,11.9742160618247,75.0223700116111,5.93966563728725,19.224756219714,3.23681658845869e-07
"Tb927.11.14490","RNA polymerase subunit, putative (RPB7)","overrepresented",52.0804075374782,1.8101958692385,59.1928340294457,5.47660233081371,58.6975873333334,9.79708586876569,56.6569429667524,5.6946280229393,15.1900790209305,1.35877387165832e-07
"Tb927.11.15160","hypothetical protein, conserved","overrepresented",50.2845314154962,0.905097934619249,46.4125630458154,0.782371761544816,50.6013683908046,6.53139057917713,49.0994876173721,2.7396200917804,40.875772946994,6.37173063611566e-08
"Tb927.11.15650","poly(A) polymerase, putative","overrepresented",118.527824050812,0.905097934619249,99.5515845040677,8.60608937699297,102.214764149425,8.70852077223617,106.764724234769,6.07323602794946,51.4202342987715,6.7436539538241e-08
"Tb927.11.16570","ATP-dependent DEAD/H RNA helicase, putative","overrepresented",41.3051508055862,1.8101958692385,26.2331878085043,3.91185880772408,29.3487936666667,5.44282548264761,32.2957107602524,3.72162671987006,11.6387737904238,2.68965494435571e-05
"Tb927.11.16920","hypothetical protein, conserved","overrepresented",181.383488320183,6.33568554233474,196.412585643161,43.0304468849649,144.719913597701,10.8856509652952,174.171995853682,20.0839277975316,15.4959751714449,0.00179290128644149
"Tb927.11.2420","hypothetical protein, conserved","overrepresented",52.0804075374782,1.8101958692385,67.2645841243701,12.5179481847171,68.8178610114943,6.53139057917713,62.7209508911142,6.95317821104423,14.8935076163973,0.000230332213579239
"Tb927.11.3960","hypothetical protein, conserved","overrepresented",89.1951807251064,1.8101958692385,94.1704177741181,3.91185880772408,97.1546273103449,10.8856509652952,93.5067419365231,5.5359018807526,27.423950805922,6.80438501380827e-11
"Tb927.11.4070","hypothetical protein","overrepresented",52.0804075374782,0.905097934619249,73.3183966955634,11.7355764231722,41.4931220804598,6.53139057917713,55.6306421045005,6.39068831232287,23.3805315412638,0.000100114625439432
"Tb927.11.6010","conserved protein, unknown function","overrepresented",93.3855583430644,2.71529380385775,96.1883552978492,17.2121787539859,91.0824631034484,13.0627811583543,93.552125581454,10.9967512387327,15.6511638841158,1.77207837322005e-05
"Tb927.11.8890","DNA-dependent RNA polymerases, putative (RPC19)","overrepresented",117.330573302824,8.14588141157324,164.798231104707,10.9532046616274,132.575585183908,27.214127413238,138.23479653048,15.4377378288129,11.4403012789852,4.30474771803508e-06
"Tb927.11.9405","hypothetical protein, Tryp Specific","overrepresented",61.6584135213822,1.8101958692385,74.6636883780508,0.782371761544816,60.7216420689656,9.79708586876569,65.6812479894662,4.12988449984967,45.230719569267,5.12447581452524e-07
"Tb927.11.9490","hypothetical protein, conserved","overrepresented",52.0804075374782,1.8101958692385,49.1031464107902,1.56474352308963,62.7456968045978,5.44282548264761,54.6430835842887,2.93925495832525,23.8932318180986,1.88497222433371e-09
"Tb927.2.2440","proteasome regulatory non-ATPase subunit 6 (RPN6)","overrepresented",59.2639120254062,1.8101958692385,53.8116672994961,5.47660233081371,58.6975873333334,7.61995567570665,57.2577222194119,4.96891795858629,16.7559432143416,7.72613907229255e-07
"Tb927.2.3340","hypothetical protein","overrepresented",158.037098734417,7.24078347695399,156.726481009782,33.6419857464271,173.056679896552,7.61995567570665,162.606753213584,16.1675749663626,16.3985354662665,0.00108439007210073
"Tb927.3.1240","protein phosphatase 2A, putative","overrepresented",96.3786852130344,3.62039173847699,95.5157094566055,0.782371761544816,112.335037827586,5.44282548264761,101.409810832409,3.28186299422314,56.448326939194,5.45112005847277e-14
"Tb927.3.2200","hypothetical protein, conserved","overrepresented",60.4611627733942,1.8101958692385,69.9551674893449,8.60608937699297,76.9140799540231,7.61995567570665,69.1101367389207,6.01208030731271,17.2075597127738,9.70266056629117e-09
"Tb927.3.3280","vacuolar protein sorting-associated protein 4, putative (VPS4)","overrepresented",49.6859060415022,1.8101958692385,41.7040421571095,0.782371761544816,37.4450126091954,6.53139057917713,42.9449869359357,3.04131940332015,28.8285090233683,6.97984579936641e-07
"Tb927.3.4560","SNF1/AMP-activated kinase catalytic subunit, putative","overrepresented",61.0597881473882,1.8101958692385,66.5919382831264,10.9532046616274,56.6735325977012,7.61995567570665,61.4417530094053,6.79445206885752,15.7494101213767,4.61084340275393e-05
"Tb927.3.5160","hypothetical protein, conserved","overrepresented",20.9518880897901,0.905097934619249,18.1614377135799,3.12948704617926,31.3728484022989,5.44282548264761,23.4953914018896,3.15913682114871,11.5720512550042,0.000849143028043856
"Tb927.3.5350","hypothetical protein, conserved","overrepresented",167.615104718321,0.905097934619249,166.143522787194,24.2535246078893,151.804105172414,13.0627811583543,161.854244225976,12.7404679002876,67.887140174161,2.22650013153616e-05
"Tb927.4.2030","ALBA-Domain Protein (ALBA4)","overrepresented",163.424727100363,1.8101958692385,170.179397834656,14.0826917078067,142.695858862069,17.4170415444723,158.766661265696,11.1033097071725,36.8524389681053,8.724990957347e-10
"Tb927.4.2900","hypothetical protein, conserved","overrepresented",68.8419180093103,1.8101958692385,73.3183966955634,1.56474352308963,50.6013683908046,6.53139057917713,64.2538943652261,3.30210999050175,30.8779997864365,3.43630897395458e-06
"Tb927.4.3190","ubiquitin-conjugating enzyme e2, putative,ubiquitin carrier protein, putative,ubiquitin-protein ligase, putative","overrepresented",48.4886552935142,2.71529380385775,64.5740007593953,3.12948704617926,48.5773136551725,8.70852077223617,53.879989902694,4.85110054075773,14.689932623859,3.2183859536052e-07
"Tb927.4.3320","uracil phosphoribosyltransferase, putative","overrepresented",193.954621174057,1.8101958692385,207.847564944304,28.9477551771582,231.754267229885,8.70852077223617,211.185484449415,13.155490606211,46.9793681910438,1.19411534041478e-06
"Tb927.5.1570","zinc finger CCCH domain containing protein 12 (ZC3H12)","overrepresented",207.723004775919,0.905097934619249,201.79375237311,1.56474352308963,195.321281988506,7.61995567570665,201.612679712512,3.36326571113851,128.033013084885,6.03295068937807e-20
"Tb927.5.2650","L-galactonolactone oxidase,D-arabinonolactone oxidase (GAL/ALO)","overrepresented",38.9106493096102,6.33568554233474,35.6502295859162,1.56474352308963,27.3247389310345,3.26569528958856,33.9618726088536,3.72204145167098,12.4307143588397,4.61084340275393e-05
"Tb927.5.3530","hypothetical protein, conserved","overrepresented",37.7133985616221,1.8101958692385,49.1031464107902,7.82371761544816,38.4570399770115,6.53139057917713,41.7578616498079,5.38843468795459,10.9993669336885,2.02992003060323e-05
"Tb927.5.850","hypothetical protein, conserved","overrepresented",52.0804075374782,9.95607728081174,37.6681671096473,9.38846113853779,42.5051494482759,3.26569528958856,44.0845746984671,7.53674456964603,7.41961483504806,1.47903614847532e-05
"Tb927.6.1610","ribosomal RNA adenine dimethylase family protein, conserved","overrepresented",46.6927791715322,0.905097934619249,55.1569589819835,9.38846113853779,46.5532589195403,3.26569528958856,49.4676656910186,4.51975145424853,23.9062861268196,1.11978741252818e-05
"Tb927.6.3000","fatty acid desaturase, putative,sphingolipid delta 4 desaturase, putative","overrepresented",76.6240478712323,4.52548967309624,99.5515845040677,14.8650634693515,77.9261073218392,11.9742160618247,84.7005798990464,10.4549230680908,10.0455004966808,4.80091549249294e-08
"Tb927.6.490","procyclin associated gene 3 (PAG3) protein,procyclin PARP A,procyclic acidic repetitive protein A (PAG3)","overrepresented",21.5505134637841,0.905097934619249,24.2152502847732,3.12948704617926,36.4329852413793,6.53139057917713,27.3995829966456,3.52199185332521,12.3753504233479,0.000170238035904457
