"Gene","Description","Phenotype","Treated_OneTX_1","Untreated_OldMP_1","Treated_OneTX_2","Untreated_OldMP_2","Treated_OneTX_3","Untreated_OldMP_3","TreatedAvg","UntreatedAvg","FoldChange","padj"
"Tb927.4.1910","hypothetical protein, conserved","overrepresented",2128.79034222447,48.408260651431,1115.66213196291,47.0012883172353,1904.98891892666,49.5713609667879,1716.48046437135,48.3269699784848,35.3806103965309,4.69358938147815e-20
"Tb927.4.4540","hypothetical protein, conserved","overrepresented",9098.04443879269,279.830977701176,5222.33150831165,261.864320624597,6960.28522720976,268.410783771388,7093.55372477136,270.035360699054,26.1289997354517,2.88708860560288e-32
"Tb927.4.4810","hypothetical protein, conserved","overrepresented",111111.632649728,111.807466536854,33639.6386311425,124.217690552693,62435.7396765472,134.205391885694,69062.336985806,123.410182991747,576.604582716603,2.1822827117097e-39
"Tb927.4.890","small nuclear ribonucleoprotein SmD3, putative (SmD3)","overrepresented",1578.49079797597,147.723272826625,1172.77527055568,138.126235054732,1546.85100216845,155.363899615421,1432.70569023337,147.071135832259,9.71079054617681,4.49442423307896e-09
"Tb927.5.2620","hypothetical protein, conserved","overrepresented",529.48229175226,23.4233519281118,178.380761632218,27.817089004078,486.588598148696,34.4581411598404,398.150550511058,28.5661940306767,14.3795575581983,2.50487999443933e-08
"Tb927.5.3450","hypothetical protein, conserved","overrepresented",6459.68395937758,28.1080223137341,1786.93710336836,34.5315587636831,4313.98347754649,25.9947380679498,4186.86818009748,29.5447730484557,149.17345028174,5.11044841623379e-24
"Tb927.5.4150","hypothetical protein, conserved","overrepresented",318.594472985976,17.801747465365,85.2785220083849,16.3065694161837,226.42154007814,12.6951046378359,210.0981783575,15.6011405064615,13.6539516403301,2.19054007230921e-06
"Tb927.5.4370","hypothetical protein, conserved","overrepresented",1234.55358282066,31.5434472631905,424.04549475729,35.011163746512,815.335257300611,42.921544251731,824.644778292852,36.4920517538112,23.4152870931122,1.96473685799671e-11
"Tb927.6.1280","translation initiation factor EIF-2b alpha subunit, putative,eIF-2B GDP-GTP exchange factor","overrepresented",13733.0509619779,126.173789052762,5622.12347846105,126.615715466838,10959.6733918592,114.255941740523,10104.9492774327,122.348482086708,83.0558404097362,7.24564948557938e-42
"Tb927.6.3980","hypothetical protein, conserved","overrepresented",201.836839420092,34.6665608536055,201.069542717018,41.725633506117,336.366614827622,44.7351306285647,246.424332321577,40.3757749960957,6.05338482370807,2.03487809672811e-10
"Tb927.7.1450","hypothetical protein, conserved","overrepresented",104.991360415833,21.8617951329043,200.287170955473,39.3276085919724,524.688376527229,35.0626699521183,276.655635966178,32.0840245589983,8.28653129032331,0.00123526896518509
"Tb927.7.2780","hypothetical protein, conserved","overrepresented",106927.364897983,340.419381355225,64444.744370208,328.529413237818,90265.994934421,339.745181260181,87212.7014008708,336.231325284408,258.65113862122,1.22129197616171e-63
"Tb927.7.5090","hypothetical protein, conserved","overrepresented",1529.61550950653,56.8406673455513,378.667932587691,64.2670676990768,541.016852975172,69.5208111119587,816.433431689798,63.5428487188623,13.5282557412216,3.11018635623727e-09
"Tb927.7.5360","hypothetical protein, conserved","overrepresented",520.431312406068,50.28212880568,362.23812559525,42.6848434717749,324.392398765797,29.0173820293393,402.353945589038,40.6614514355981,10.0052697376727,1.3488949972668e-17
