"Gene","Description","Phenotype","Treated_TwoTX_1","Untreated_NewMP_1","Treated_TwoTX_2","Untreated_NewMP_2","Treated_TwoTX_3","Untreated_NewMP_3","TreatedAvg","UntreatedAvg","FoldChange","padj"
"Tb927.10.9400","branch point binding protein, putative","overrepresented",375.95260152753,70.0391687572983,296.729505092004,69.2825216481012,680.539619090378,66.7938062758621,451.073908569971,68.7051655604205,6.61310089791215,2.54595175445959e-09
"Tb927.10.9720","RNA-editing-associated protein 1,RNA-binding protein,oligo (U) binding protein,RNA editing complex protein (REAP-1)","overrepresented",280.084688138009,40.1079000575982,398.425532658748,82.7354384729752,1081.69981560681,52.6254231264368,586.73667880119,58.4895872190034,10.7845459522938,9.69467622223458e-08
"Tb927.11.11435","dynein light chain lc6","overrepresented",129786.357099334,268.782792923307,35408.3278447112,246.188377895195,269808.886457053,273.247389310345,145001.190467033,262.739520042949,538.036456783114,1.02297987263066e-42
"Tb927.11.12380","hypothetical protein, conserved","overrepresented",12229.7381276905,44.8969030495502,6745.37212983796,51.1210839345213,24513.7534371292,60.7216420689656,14496.2878982192,52.246543017679,269.350660028938,2.22557258259405e-58
"Tb927.11.13090","elongation factor 1 gamma, putative","overrepresented",3973.81899814599,39.5092746836042,3225.017860507,24.8878961260169,6339.76381994721,45.5412315517242,4512.86689286673,36.6461341204484,123.123498105778,4.34391331218495e-61
"Tb927.11.13190","elongation factor 1 gamma, putative","overrepresented",3932.46421197796,31.1285194476881,3071.77727102286,37.6681671096473,6232.31019588031,42.5051494482759,4412.18389296038,37.1006120018704,118.167711590835,8.36023467389655e-65
"Tb927.11.15280","tRNA-sepcific adenosine deaminase (ADAT3)","overrepresented",1783.89509424813,18.5573865938141,505.693945297641,22.1973127610421,1762.23943469719,20.2405473563219,1350.60949141432,20.331748903726,68.6583828529995,4.9719888332903e-24
"Tb927.11.1810","hypothetical protein, conserved","overrepresented",891.007665620245,42.5024015535742,488.97679008119,26.905833649748,1239.29846423827,29.3487936666667,873.094306646568,32.9190096233296,27.1212972549067,5.10280000928279e-24
"Tb927.11.2350","hypothetical protein, conserved","overrepresented",216.172745878329,6.58487911393403,73.8341022059917,14.1255626661177,508.613820583335,17.2044652528736,266.206889555885,12.6383023443084,22.5395130976008,2.15081977855722e-07
"Tb927.11.290","phosphatase and tensin homologue, putative","overrepresented",718.069468917581,26.3395164557361,332.950008060982,33.6322920621851,78.799324315728,15.1804105172414,376.606267098097,25.0507396783875,14.1175425637239,1.76119788808527e-06
"Tb927.11.500","RNA-binding protein, UBP1 (UBP1)","overrepresented",58.2726532367671,9.57800598390404,75.2271984740293,12.1076251423866,494.286670707748,22.264602091954,209.262174139515,14.6500777394149,11.4992589363539,0.000319171323284774
"Tb927.11.5600","hypothetical protein, conserved","overrepresented",3738.84862219128,211.314757019883,1465.53727397553,174.887918723362,5358.3540534695,201.393446195403,3520.91331654544,195.865373979549,17.5598436790017,6.26009852172478e-16
"Tb927.11.590","hypothetical protein, conserved","overrepresented",212967.749950307,195.750497296039,52750.983285511,147.309439232371,476205.807564758,166.984515689655,247308.180266859,170.014817406022,1432.61590498715,2.04342758739807e-55
"Tb927.11.7475","hypothetical protein, conserved","overrepresented",11934.6153354914,261.000663061385,5010.96727613117,259.641294720069,14183.878376831,261.103060896552,10376.4869961512,260.581672892669,39.7829559883911,1.08565861525607e-37
"Tb927.2.2130","small GTP-binding protein RAB6, putative","overrepresented",332.718052351864,50.8831567894902,281.405446143591,58.520188188202,573.085995023476,52.6254231264368,395.736497839644,54.009589368043,7.41248727913011,9.52731433627616e-11
"Tb927.2.3780","translation initiation factor IF-2, putative","overrepresented",214.292982870692,38.3120239356161,334.343104329019,41.7040421571095,537.268120334509,53.6374504942529,361.968069178073,44.5511721956595,7.87568815725297,1.59550772511045e-10
"Tb927.2.5210","3-oxoacyl-ACP reductase, putative","overrepresented",25765.9115456892,477.703048447214,12333.0812609367,404.932796428708,35638.7853155224,386.594454505747,24579.2593740495,423.076766460556,58.8602278275254,6.8928692976807e-43
"Tb927.3.1610","protein kinase, putative","overrepresented",2430.53356887548,104.160815074956,1341.55170612019,104.932751234017,2492.92407835212,110.310983091954,2088.33645111593,106.468183133643,19.5727867320913,1.00380862016822e-27
