"Gene","Description","Phenotype","Treated_NewMP_1","Untreated_TwoTX_1","Treated_NewMP_2","Untreated_TwoTX_2","Treated_NewMP_3","Untreated_TwoTX_3","TreatedAvg","UntreatedAvg","FoldChange","padj"
"Tb927.4.5230","hypothetical protein, conserved","overrepresented",105.956691196938,22.5571560916518,113.677147170185,6.9654813401879,140.671804126437,28.6542997511738,120.101880831187,19.3923123943378,8.64219946923566,3.70296063496394e-05
"Tb927.5.1000","ubiquitin-conjugating enzyme e2, putative,ubiquitin carrier protein, putative,ubiquitin-protein ligase, putative","overrepresented",349.597218412497,86.4690983513318,291.255649258523,44.5790805772025,434.159740793104,14.3271498755869,358.337536154708,48.4584429347071,13.626592779049,0.000532778746503209
"Tb927.6.3000","fatty acid desaturase, putative,sphingolipid delta 4 desaturase, putative","overrepresented",76.6240478712323,13.1583410534635,99.5515845040677,5.57238507215032,77.9261073218392,7.16357493779345,84.7005798990464,8.63143368780243,11.5221664422179,2.73806934018206e-06
"Tb927.7.200","hypothetical protein, conserved","overrepresented",122.119576294776,13.1583410534635,104.932751234017,5.57238507215032,104.238818885058,14.3271498755869,110.43038213795,11.0192920004003,11.7957460470506,4.37831048255246e-08
"Tb927.7.4280","hypothetical protein, conserved","overrepresented",96.3786852130344,18.7976300763765,80.7175009492441,18.1102514844885,87.034353632184,7.16357493779345,88.0435132648208,14.6904854995528,7.24458266832076,0.000251404801092627
"Tb927.7.4390","threonine synthase, putative","overrepresented",76.6240478712323,3.7595260152753,88.7892510441685,13.9309626803758,92.0944904712645,21.4907248133804,85.8359297955551,13.0604045030105,10.3467124884497,0.0019094315667782
"Tb927.8.2780","RNA-binding protein RBP10, putative (RBP10)","overrepresented",29.9312686997001,1.87976300763765,24.8878961260169,1.39309626803758,29.3487936666667,7.16357493779345,28.0559861641279,3.47881140448956,12.6283362751261,0.00140904101475927
"Tb927.8.7560","hypothetical protein, conserved","overrepresented",79.0185493672083,18.7976300763765,58.520188188202,13.9309626803758,65.781778908046,7.16357493779345,67.7735054878188,13.2973892315152,5.86239561381185,0.000121215526921813
"Tb927.9.12290","Peroxin 19","overrepresented",243.640527215559,16.9178670687388,269.05833649748,58.5100432575783,256.042924057472,42.9814496267607,256.24726259017,39.469786651026,8.31897620633567,0.000235612567287963
"Tb927.9.13610","helicase, putative","overrepresented",75.4267971232443,18.7976300763765,76.6816259017819,5.57238507215032,75.902052586207,7.16357493779345,76.0034918704111,10.5111966954401,9.45637693819892,0.000819658117890527
"Tb927.9.13785","kinetoplastid membrane protein KMP-11","overrepresented",154.445346490453,15.0381040611012,133.856522407496,27.8619253607516,161.924378850575,21.4907248133804,150.075415916175,21.4635847450777,7.53638841039939,3.97246672776608e-09
"Tb927.9.13990","RNA-binding protein, putative (DRBD2)","overrepresented",35.9175224396401,1.87976300763765,33.6322920621851,2.78619253607516,49.5893410229886,7.16357493779345,39.7130518416046,3.94317682716875,12.7003204125751,0.00223485367917856
"Tb927.9.9870","MCAK-like kinesin, putative","overrepresented",112.541570310872,1.87976300763765,139.237689137446,1.39309626803758,117.395174666667,14.3271498755869,123.058144704995,5.86666971708738,56.0041139404328,1.18438299196398e-07
